file,name,bytes,mb,mb_lbl
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_pymc3_10-10-5-5.pkl,2tier-hier_pymc3_10-10-5-5,68577429,68.577429,68 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_pymc3_10-10-5-5__1.netcdf,2tier-hier_pymc3_10-10-5-5__1,32724359,32.724359,32 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_pymc3_10-10-5-5__10.netcdf,2tier-hier_pymc3_10-10-5-5__10,35629351,35.629351,35 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_pymc3_10-10-5-5__2.netcdf,2tier-hier_pymc3_10-10-5-5__2,35332631,35.332631,35 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_pymc3_10-10-5-5__3.netcdf,2tier-hier_pymc3_10-10-5-5__3,34723567,34.723567,34 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_pymc3_10-10-5-5__4.netcdf,2tier-hier_pymc3_10-10-5-5__4,34422103,34.422103,34 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_pymc3_10-10-5-5__5.netcdf,2tier-hier_pymc3_10-10-5-5__5,34839224,34.839224,34 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_pymc3_10-10-5-5__6.netcdf,2tier-hier_pymc3_10-10-5-5__6,35711142,35.711142,35 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_pymc3_10-10-5-5__7.netcdf,2tier-hier_pymc3_10-10-5-5__7,34962680,34.96268,34 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_pymc3_10-10-5-5__8.netcdf,2tier-hier_pymc3_10-10-5-5__8,34734857,34.734857,34 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_pymc3_10-10-5-5__9.netcdf,2tier-hier_pymc3_10-10-5-5__9,32258559,32.258559,32 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_pymc3_100-200-20-40.pkl,2tier-hier_pymc3_100-200-20-40,26278948140,26278.94814,26278 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/2tier-hier_pymc3_100-200-20-40__1.netcdf,2tier-hier_pymc3_100-200-20-40__1,12942333357,12942.333357,12942 MB
